userId,problemid,rating
1,1,2.5
1,2,3
1,5,3
1,8,2
1,9,4
1,11,2
1,14,2
1,15,2
1,18,3.5
1,20,2
2,1,2.5
2,3,1
2,5,4
2,7,4
2,9,3
2,10,2
2,13,2
2,16,2.5
2,17,1
2,19,3
3,1,4
3,2,5
3,4,5
3,6,4
3,8,4
3,9,3
3,10,3
3,11,4
3,13,3
3,14,5
3,15,4
4,1,3
4,3,3
4,6,3
4,7,3
4,8,3
4,10,3
4,11,5
4,18,1
5,2,3
5,3,3
5,5,3
5,7,4
5,9,4
5,11,5
5,14,5
5,16,3
6,2,4
6,4,3
6,5,4
6,7,3
6,9,4
6,25,2
7,3,1
7,4,3
7,6,4
7,9,4
7,15,3
7,16,3
7,17,3
8,1,3
8,4,2
8,7,3
8,8,3
8,13,3
8,16,3
8,18,2
9,2,3
9,5,4
9,8,3
9,9,4
9,11,2
9,16,4
9,17,3
9,20,3
9,21,4
10,2,4
10,4,4
10,7,4
10,9,4
10,11,4
10,15,3
10,17,3
10,20,5
10,21,3
10,22,5
10,23,3
10,24,3
10,25,3
10,1,5
10,6,5
11,1,5
11,4,3
11,6,3
11,8,4
11,10,4
11,11,3
11,14,4
11,16,3.5
11,17,3
11,19,4.5
11,23,5
11,24,2.5
11,25,5
12,1,2.5
12,2,3
12,3,3
12,5,3
12,7,3
12,8,2
12,10,3.5
12,11,4
12,13,3
12,14,5
12,15,3
12,18,4
12,21,3
12,22,4
12,23,3.5
12,24,4.5
12,25,4
12,12,4
12,19,4
12,16,3
12,17,3
13,2,3.5
13,3,3
13,4,3.5
13,6,4
13,8,4
13,9,5
13,10,3
13,13,4
13,14,5
13,15,3
13,17,3.5
13,20,3
13,21,2.5
13,22,3
13,23,3.5
13,24,3
13,25,3.5
14,2,3.5
14,4,4.5
14,5,4.5
14,7,3
14,8,4
14,10,4
14,11,5
15,1,5
15,3,5
15,5,4
15,6,3
15,7,3
15,8,5
15,10,4
15,13,5
15,16,3
15,17,5
15,18,5
15,21,5
15,22,5
15,23,4
15,24,3
15,25,3
16,1,3
16,3,4
16,4,1
16,5,4
16,6,4
16,8,4
16,9,5
16,10,5
16,11,5
16,14,5
16,15,3
16,16,5
16,17,5
16,19,4
16,20,5
16,21,5
16,22,5
16,23,4
17,1,5
17,3,5
17,4,4
17,5,4
17,6,5
17,8,5
17,10,5
17,11,5
18,1,4
18,3,5
18,4,5
18,6,5
18,7,3
18,8,6
18,9,2
18,10,5
18,11,1
18,13,4
18,14,3
18,16,5
18,18,5
18,19,5
18,20,5
18,21,5
18,22,5
19,1,5
19,3,5
19,4,5
19,6,5
19,7,5
19,9,5
19,10,5
19,13,5
19,15,5
19,16,5
19,17,5
19,18,5
19,24,4
20,25,5
20,18,5
20,24,5
20,16,5
20,12,4
20,10,5
20,1,5
20,13,4
20,9,4
20,2,4
20,4,5
20,15,5
20,5,4
20,23,4
20,21,3
20,20,4
21,7,3
21,16,3
21,8,5
21,13,5
21,11,4
21,10,5
21,14,3
21,21,5
21,6,4
21,17,5
21,9,1
22,5,5
22,22,4
22,15,2
22,4,5
22,23,5
22,19,5
22,17,3
22,20,5
22,12,5
22,24,5
22,8,3
22,7,2
23,9,5
23,5,4
23,16,5
23,14,4
23,18,4
23,13,4
23,24,4
23,4,5
23,10,3
23,11,5
23,20,5
23,17,5
24,15,4
24,17,5
24,7,5
24,5,5
24,14,5
24,10,4
24,19,5
24,20,5
24,6,5
24,4,4
24,11,5
24,22,3
24,16,5
24,1,5
24,13,4
24,12,5
24,18,4
25,25,4
25,1,5
25,15,5
25,7,5
25,18,3
25,22,5
25,8,4
25,3,3
25,19,5
25,4,5
25,6,4
25,11,4
25,12,4
25,14,5
25,5,4
25,24,5
25,2,5
25,9,4
25,23,1
25,10,5
25,21,5
25,13,3
26,9,4
26,17,4
26,1,5
26,2,5
26,8,4
26,19,1
26,13,5
26,6,5
27,5,4
27,4,5
27,20,5
27,19,3
27,25,3
27,8,5
27,13,5
27,22,2
27,3,1
27,17,4
27,10,5
27,21,5
27,1,3
28,5,5
28,3,5
28,9,3
28,11,5
28,2,4
28,19,5
28,7,5
28,15,4
28,8,4
28,14,4
29,25,5
29,20,4
29,10,2
29,2,4
29,14,5
29,24,4
29,18,3
29,17,5
29,16,2
29,1,4
29,15,4
29,5,4
29,19,4
29,21,4
30,25,3.5
30,14,4.5
30,1,3.5
30,4,4
30,11,4
30,23,4
30,5,4
30,22,4
30,20,4.5
30,24,4
30,10,3.5
30,13,4
30,8,5
30,9,3.5
30,7,2.5
30,19,3.5
30,16,4
30,18,4
30,2,5
30,15,3
30,12,2.5
31,14,4
31,2,4
31,24,5
31,7,3.5
31,10,4.5
31,20,3.5
31,1,4
31,25,4
31,3,4
31,22,4.5
31,18,4.5
31,9,4
31,16,4
31,11,3.5
31,5,1.5
31,21,5
31,19,4
31,23,4
31,17,3.5
32,10,4
32,19,3.5
32,9,4
32,5,4.5
32,20,4
32,2,3.5
32,8,3.5
32,1,3.5
32,11,3.5
32,23,3.5
32,24,3.5
32,15,4
32,18,3.5
32,6,4.5
32,21,3.5
32,16,4
32,13,4
32,14,3.5
32,7,4.5
32,2,3.5
33,13,3.5
33,17,4.5
33,20,3.5
33,5,3
33,16,4.5
33,21,3.5
33,11,4.5
33,2,4.5
33,15,4
33,1,3.5
33,9,4.5
33,3,3
34,18,4
34,14,3.5
34,6,4
34,23,4
34,19,4
34,13,2.5
34,17,4
34,3,4
34,5,4
34,11,3.5
34,24,4.5
34,12,4
34,8,4.5
34,21,4.5
34,2,3.5
35,16,5
35,3,4
35,10,4.5
35,8,4
35,6,4.5
35,12,4
35,14,4
35,17,4.5
35,7,4
35,18,2
35,25,2
35,13,5
35,11,4
35,23,4
35,1,5
35,4,4.5
36,21,4.5
36,20,4.5
36,6,4.5
36,22,2
36,12,2
36,25,2
36,18,2
36,24,0.5
36,8,3
36,11,3
36,7,4
37,5,4
37,13,4
37,10,3.5
37,22,3
37,3,4
37,6,1
37,8,2
37,19,4
37,15,3
37,14,4.5
37,16,3
37,7,1
37,24,4
38,4,3.5
38,7,1.5
38,16,1.5
38,17,1.5
38,24,5
39,12,3
39,10,5
39,14,4
39,18,3.5
39,9,4
39,15,3
39,1,4.5
39,24,3
39,20,3
39,8,3
39,25,3
39,22,4
39,5,4
39,13,3
39,19,5
40,15,4
40,14,4
40,7,4
40,17,2
40,10,3
40,6,5
40,23,3
40,21,2
40,25,5
40,8,3
40,13,3
40,18,3
40,20,3
40,5,3
40,4,3
40,11,3
40,19,3
40,9,3
41,24,4
41,20,4
41,18,3
41,5,4
41,15,3
41,17,4
41,3,4
41,12,4
41,7,3
41,19,4
42,22,3
42,12,4
42,9,3
42,11,3
42,19,4
42,17,3
42,15,5
42,2,2
42,5,1
42,7,1
42,1,5
42,13,3
43,14,2
43,2,4
43,8,3
43,7,3
43,9,4
43,11,4
43,12,3
43,4,3
43,5,3
43,21,4
43,17,5
44,2,5
44,4,3
44,6,5
44,8,5
44,17,4
44,19,5
44,21,5
44,23,4
45,2,4
45,4,5
45,21,3
45,16,4
45,24,3
45,7,4
45,12,4
45,15,3
45,10,3
45,6,4
45,1,3
45,9,3
45,3,3
45,17,3
45,18,2
46,23,4
46,24,3
46,4,3
46,6,3
46,11,5
46,14,1
46,20,5
46,13,2.5
46,15,5
46,3,5
46,1,4
46,16,3.5
47,23,2
47,15,4
47,6,5
47,7,4
47,2,4.5
47,18,3.5
47,4,2
47,8,5
47,24,5
47,5,4
48,14,4.5
48,22,4
48,6,3.5
48,8,5
48,13,3.5
48,5,4
48,3,4
48,7,4
48,20,4
48,2,4
48,11,4
48,23,4
49,5,3
49,23,4
49,7,4
49,1,3.5
49,18,0.5
49,22,4
49,15,3
49,19,4
49,21,3
49,3,3.5
49,12,5
49,8,4
49,10,4
49,4,3
50,3,5
50,8,3.5
50,19,5
50,4,4
50,12,3
50,1,3
50,15,4.5
50,10,4.5
50,25,4
50,2,5
50,11,3.5
50,6,3.5
50,7,5
50,17,5
50,18,3.5
50,13,4.5
51,8,2.5
51,25,4.5
51,15,3.5
51,17,3.5
51,18,3
51,14,4.5
51,22,5
51,16,4
51,2,4.5
51,24,5
51,13,3.5
51,9,4
51,10,4
52,6,4.5
52,5,3.5
52,3,4.5
52,7,5
52,11,4
52,20,2.5
52,19,3.5
52,12,3.5
52,9,4.5
52,24,4
52,17,3.5
52,8,3.5
53,15,5
53,18,3.5
53,7,4.5
53,13,4
53,22,4
53,24,4
53,1,3
53,5,4
53,12,3.5
53,21,4
53,20,3
54,24,4
54,6,5
54,25,3
54,5,3.5
54,11,4
54,4,4
54,21,4
54,22,2.5
54,16,4.5
55,2,4
55,4,3
55,5,3.5
55,7,4.5
55,9,4.5
55,11,4.5
55,14,3.5
55,17,3.5
56,2,3.5
56,4,2
56,6,3.5
56,8,3
56,11,3
56,14,4
56,17,4
56,20,3
56,21,5
56,22,3
57,2,4
57,3,4
57,5,4
57,7,5
57,15,5
57,19,4
57,20,5
57,21,2
57,22,5
58,2,3
58,4,4
58,5,4
58,7,3
58,9,2
58,12,4
58,14,4
58,16,5
58,19,4
59,2,3
59,5,5
59,7,4
59,9,4
59,1,4
59,14,4
59,17,3
59,20,3
59,22,4
60,1,4
60,4,2
60,6,4
60,7,4
60,16,4
60,22,2
61,2,3
61,5,4
61,9,2
61,17,5
61,22,3
61,23,4
62,1,4
62,4,5
62,5,4
62,7,4
62,11,3
62,15,4
62,17,3
62,22,4
63,1,3
63,4,3
63,5,2
63,7,4
63,11,4
63,15,4
64,1,4
64,5,4
64,8,4
64,11,3
64,17,4
64,23,4
65,11,5
65,12,4
65,5,3
65,20,3
65,7,5
65,6,3
65,22,4
66,9,5
66,2,2
66,19,5
66,21,3
66,13,5
67,1,4
67,18,2
67,19,4
67,22,5
67,12,5
67,21,3
67,2,3
67,6,4
67,16,3
68,15,4
68,7,2
68,3,5
68,9,2
68,16,3
68,19,4
68,12,5
68,4,1
68,21,4
68,14,3
68,20,5
69,15,4.5
69,3,3.5
69,6,5
69,18,4.5
69,12,5
69,19,5
69,9,3
69,7,3.5
69,23,4.5
69,13,3
69,22,3
70,20,3
70,23,5
70,12,5
70,13,5
70,18,4
70,6,4.5
70,7,3.5
70,16,4.5
70,24,4
70,1,4.5
70,2,3
70,3,4
71,2,3.5
71,5,4
71,14,4.5
71,17,4.5
71,7,4
71,19,4
71,8,4
71,18,4
71,1,5
71,12,5
72,18,3
72,22,1
72,15,3
72,2,2
72,6,1
72,9,4
72,12,3
72,13,1
73,3,2
73,7,3
73,17,1
73,21,5
74,2,5
74,7,2
74,9,5
74,21,1
75,4,1
75,2,4
75,23,2
75,16,3
75,3,2
75,11,2
75,13,4
76,18,1
76,14,2
76,21,4
76,20,2
76,1,1
76,6,3
76,8,2
76,19,4
77,25,1
77,20,4
77,18,4
77,21,3
77,11,2
77,15,2
77,5,1
78,21,5
78,20,3
78,1,4
78,3,1
78,5,3
78,2,3
78,17,5
78,14,2
79,1,2
79,12,4
79,13,2
79,7,1
79,9,3
79,17,5
79,15,3
79,2,5
79,22,2
80,12,2
80,14,3
80,5,5
80,15,3
80,3,2
80,18,4
80,24,5
80,9,2.5
